#,Book ID,Section ID,方志,部,Book Year,Edition Year,方志地點,經度(x),緯度(y),Description,頁數,賦役,田土種類,單位,數字,年號,官民,分,地名,分單位,米,鈔,則
1,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,始蠲其租曰竈户曰水馬户弓手户,,,,,,,,,,,
2,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,圭田無征以養官也,,,,,,,,,,,
3,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,寺觀免租限以統一世祖皇帝之仁政也,,,,,,,,,,,
4,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,因田以為役髙下莫定其可稽者,,,,,,,,,,,
5,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,曰弓兵獄卒衙前作賦役考,,,,,,,,,,,
6,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,,,,,,,,,,,
7,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,,頃;分;毫,二萬一千一百六十九;一;六,,,三十;八,本路,畝;釐,,,
8,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,,,,皇慶元年,,,,,,,
9,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分;毫;忽,二千七百;四;八;四,皇慶元年,官,四;二;四,,畝;釐;絲,,,
10,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分;毫;忽,一萬八千四百六十九;七;七;六,皇慶元年,民,二十五;五;五,,畝;釐;絲,,,
11,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,,頃;分,四千三百七十三;一,皇慶元年,,八十一;二,,畝;釐,,,
12,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;釐;絲;塵,五百二十六;四;一;六,皇慶元年,官,六十一;七,,畝;毫,,,
13,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;釐;毫,三千八百四十七;七;二,皇慶元年,民,二十;九,,畝;絲,,,
14,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,,頃;分;毫;忽,四千九百四十八;八;四;五,皇慶元年,,三十一;四;七,,畝;釐;絲,,,
15,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分;毫,六百三十;二;四,皇慶元年,官,一十七;一,,畝;釐,,,
16,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分;絲,四千三百一十八;六;七,皇慶元年,民,一十四;三;五,,畝;釐;忽,,,
17,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,,頃;釐,一千五百一;一,皇慶元年,,一十九;八,,畝;毫,,,
18,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分,三百一十三;七,皇慶元年,官,八;三,,畝;釐,,,
19,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分;毫,一千一百八十八;二;八,皇慶元年,民,一十;八,,畆;釐,,,
20,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,,頃;毫;忽,四千六百一十六;五;七,皇慶元年,,四十四;一,,畆;絲,,,
21,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;毫;忽,一百九十六;五;七,皇慶元年,官,四十四;一,,畝;絲,,,
22,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分;毫;忽,四千四百一十九;一;二;四,皇慶元年,民,八十五;二;九,,畝;釐;絲,,,
23,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,,頃;分;毫;塵,三千八百三十九;五;二;四,皇慶元年,,一;五;八,,畝;釐;忽,,,
24,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;釐,四百一十四;一,皇慶元年,官,六十二;一,,畆;絲,,,
25,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分;毫;忽;塵,三千四百二十四;五;一;八;四,皇慶元年,民,三十九;四;九,,畝;釐;絲,,,
26,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,,頃;分,一千八百九十;五,皇慶元年,,五十二,,畝,,,
27,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分,六百一十八;五,皇慶元年,官,九十六,,畝,,,
28,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃,一千二百七十一,皇慶元年,民,五十六,,畝,,,
29,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分;絲,八百三十九;六;四,皇慶元年,竈户,八十二;四;九,,畝;毫;忽,,,
30,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分;毫;忽;塵,四十二;五;五;三;六,皇慶元年,官,五十;五,,畝;釐,,,
31,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;釐;絲;塵,七百九十七;四;一;七,皇慶元年,民,三十二;九;五,,畝;毫;忽,,,
32,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田;田,頃;分;毫,一千三百二十八;九;七,皇慶元年,僧道;僧寺,六十一;一,,畝;釐,,,
33,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田;田,頃;分;毫,四百六十一;七;七,皇慶元年,道觀;馬驛户;民,九十七;七,,畆;釐,,,
34,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分,八十二;三,皇慶元年,水驛户;民,九十二,,畆,,,
35,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,,,,皇慶元年,職,,,,,,
36,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分,九十九;五,皇慶元年,職;官,三十九,,畝,,,
37,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分,九十一;三,皇慶元年,職,八十六;五,,畝;釐,,,成熟
38,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,田土,田,頃;分,七;一,皇慶元年,職,五十三;五,,畝;釐,,,荒閒
39,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,兵,,,,,,,,,,,
40,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,兵,,名,六百三十,,,,本路,,,,
41,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,兵,,,,至元二十二年,,,,,,,
42,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,納稅三石以下一石以上丁多户内差撥,,,,,,,,,,,
43,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,兵;録事司,,名,二十五,至元二十二年,,,,,,,
44,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,兵,,名,六十五,至元二十二年,,,鄞縣,,,,
45,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,兵;尉司,,名,二十五,至元二十二年,,,鄞縣,,,,
46,16914,53980,四明志,賦役攷,1320,1911,慶元路,121.54266,29.86632,四明志_賦役攷,,兵;大嵩巡檢司,,名,二十,至元二十二年,,,鄞縣,,,,
