#,Book ID,Section ID,方志,部,Book Year,Edition Year,方志地點,經度(x),緯度(y),Description,頁數,賦役,田土種類,單位,數字,年號,官民,分,地名,分單位,米,鈔,則
1,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1359,田土;田土,田土;田土,,,,官民,,,,,,
2,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1361,田土,,頃;分;毫,玖仟玖伯伍拾捌;玖;肆,,官民,貳拾壹;壹,江寜縣,畝,,,
3,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1361,田土,,頃;分;毫,壹仟捌伯貳拾;貳;肆,,官,叁拾玖;叁,江寜縣,畝,,,
4,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1361,田土,,頃;分,捌仟壹伯叁拾㭍;陸,,民,捌拾貳;捌,江寜縣,畝,,,
5,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1362,元科田土,,頃;分;毫,玖仟叁伯肆拾叁;陸;玖,,,壹拾㭍;㭍,江寜縣,畝,,,
6,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1362,元科田土,田,頃;毫,壹仟陸伯陸拾肆;玖,,官,叁拾玖,江寜縣,畝,,,
7,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1362,元科田土,田,頃;分,伍伯伍拾伍;肆,,官,貳拾壹;玖,江寜縣,畝,,,
8,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1362,元科田土,地,頃;分;毫,貳伯㭍拾貳;壹;伍,,官,叁拾叁;伍,江寜縣,畝,,,
9,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1362,元科田土,山,頃;分,叁拾壹;貳,,官,壹拾伍;㭍,江寜縣,畝,,,
10,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1362,元科田土,住基,畝,貳拾捌,,官,伍,江寜縣,分,,,
11,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1362,元科田土,塘,畝,伍,,官,捌,江寜縣,分,,,
12,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1363,元科田土,,,,,官,,江寜縣,,,,
13,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1363,元科田土,草塌,頃;分,貳拾㭍;陸,,官,陸拾捌;玖,江寜縣,畝,,,
14,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1363,元科田土,蘆地,頃;分;毫,叁伯捌拾玖;叁;肆,,官,㭍拾;叁,江寜縣,畝,,,
15,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1363,元科田土,菱㳰,頃;分,貳;陸,,官,叁拾壹;陸,江寜縣,畝,,,
16,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1363,元科田土,蘆地,頃;分,玖拾;壹,,官,壹拾壹,江寜縣,畝,,,
17,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1363,元科田土,堽,頃;分,壹;貳,,官,壹拾;玖,江寜縣,畝,,,
18,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1363,元科田土,沙地,頃;分,壹伯叁拾陸;貳,,官,玖拾貳;貳,江寜縣,畝,,,
19,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1363,元科田土,水,頃;分,叁拾伍;捌,,官,伍拾㭍;捌,江寜縣,畝,,,
20,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1363,元科田土,,,,,官,,江寜縣,,,,
21,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1363,元科田土,蘆地,頃;分,壹伯貳拾壹;伍,,官,玖拾貳;叁,江寜縣,畝,,,
22,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1364,元科田土,,,,,,,江寜縣,,,,
23,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1364,元科田土,田土,頃;分,㭍仟陸伯㭍拾捌;陸,,民,㭍拾捌;㭍,江寜縣,畝,,,
24,16915,5195877,金陵新志,田賦志,1368,1911,建康府,118.76899,32.05256,金陵新志_田賦志,1364,元科田土,田,頃;分,肆仟㭍伯叁拾貳;伍,,民,㭍拾壹;㭍,江寜縣,畝,,,
